phrasalVerb,example
box up,I’ve boxed up all my stuff.
branch off,A small group of soldiers branched off into the jungle.
branch off,"Lanes branch off the main road, leading to the coast."
branch off,"Somebody held the arm with two hands and damned near tore the arm off, like taking a branch off a tree."
branch out,Designers have branched out from clothes to cosmetics and toiletries.
branch out,"In the longer term, the company wants to branch out into providing investment advice."
branch out,"No sound anymore, not an echo, not even of her, not a gray branch out of place."
branch out,Quinn wanted to leave the company and branch out on his own.
break away,"Anna tried to break away, but he held her tight."
break away,Maybe this would be the thing that finally got her to break away from Sherrie.
break down,"At one point, the talks broke down completely."
break down,Firefighters had to break down the door to get into the flat.
break down,"In crime novels, the cops have a couple of suspects and then break down the door and arrest one."
break down,"Luther watched him a minute to see if he would break down, but he was resolute."
break down,People broke down and wept when they heard the news.
break down,She'd sometimes heard people say that without magic the underground would break down forever.
break down,Should Manfred ever break down in the wilderness he would always have a ready supply of kindling to hand for a warming campfire.
break down,The aim of the agreement is to break down barriers to trade.
break down,The amount doesn’t seem quite so bad when you break it down into monthly payments.
break down,The car broke down just outside Winchester.
break down,The substance is easily broken down by bacteria.
break for,We’re assuming they’ll break for the border.
break in,"At one's own parties, she pointed out, one was entitled to break in on any conversation."
break in,It said the precise time of the break-in had not been communicated.
break in,Parson Hooper put the investigation of the church break-in in the hands of the police.
break in,Someone had broken in through the bedroom window.
break in,The abrupt break in his downward momentum felt like the intercession of God.
break in,There was a break in the hedge which had been stopped with a hurdle that now lay on its side.
break in,"There was for a while a lull in the assault, since the attempt to break in through the culvert had been foiled."
break in,There'd been no break-in here; everything had been done in a civilized manner - which made it all the more sinister.
break in,You said there were no signs of a break-in or forced entry of any kind.
break in,a stiff pair of boots that took weeks to break in
break in,"‘Hilary,’ he broke in gently, ‘I’m just trying to help.’"
break into,Christopher’s voice broke into her thoughts.
break into,I almost expected him to break into song.
break into,It’s always been his ambition to break into broadcasting.
break into,"Michael Masters was giving her a time, and a day, to break into his house and take his pistols."
break into,"My legs were shaking with exhaustion, but Phil hadn’t even broken into a sweat."
break into,"Suddenly I was aware that his neatly parted grey hair was a wig, a discovery which triggered an irrational urge to break into laughter."
break into,The children saw the sea and broke into a run.
break into,"Through the wall, fifteen or so Kurds begin a heated argument, and then spontaneously break into rousing song."
break into,We had to break into our savings to pay the fine.
break into,We see the deal with China as a way of breaking into markets in the Far East.
break into,We watched her puzzled face break gently into a smile.
break off,"Beddington had heard about last night, and he was calling to break off the engagement!"
